곡 명, 아티스트, 작곡가, 작사가, 편곡자, 스트리밍 수, 좋아요 수, 발매시점, 기획사, 발매사, 장르, 재생시간
쉬워 (Feat. 초월), 화아 (HwA), 화아 (HwA), 03:08, 화아 (HwA) & 곽승현, 171, 4, 2022.11.07, talented, Universal Music, 가요 / R&B/소울, 03:08
I Think About Your Love, 윤원, 윤원, 윤원, J.Y studio, 1476, 21, 2022.11.07, 마그넷 뮤직, 뮤직앤뉴, 가요 / 발라드, 03:15
우주 (Galaxy), J.glo (제이글로), 권주영, 권주영, 권주영, 40, , 2022.11.07, 마하나임, 뮤직앤뉴, 가요 / 블루스/포크, 03:42
멋진 인생, 백발소년단, 날아라 슈퍼맨, 날아라 슈퍼맨, , 54, 2, 2022.11.07, 신희재, ㈜다날엔터테인먼트, 가요 / 트로트, 03:30
Victory (빅토리), 뉴키드 (Newkidd), 다비 (DAVII), 다비 (DAVII), Dashorn, 719, 5, 2022.11.07, 제이플로 엔터테인먼트, 워너뮤직, 가요 / 댄스, 03:03
널 찾아가, 한이서, 한이서 & UL, 한이서, UL & 정인경, 79, 4, 2022.11.07, 한이서 뮤직, ㈜다날엔터테인먼트, 가요 / R&B/소울, 02:54
Drown in you, 김선하, 김선하, 김선하, SHHH & 김선하, 67, 1, 2022.11.07, 디에이블 뮤직, (주) 광수미디어, 가요 / R&B/소울, 02:59
각인, 이성욱, 최현남, 최현남, 최현남, 33, , 2022.11.07, (주)촉뮤직엔터테인먼트, ㈜다날엔터테인먼트, 가요 / 락, 03:29
Heaven, 일리아 (ILYA), 일리아 (ILYA) & Beatbox DG, 일리아 (ILYA), 일리아 (ILYA) & Beatbox DG, 762, 7, 2022.11.07, 프리퀀시 레코즈 & 엔라이크, Dreamus, 가요 / R&B/소울, 03:25
아무것도 하지 못했어, 윤대천, 윤대천, 윤대천, 윤대천, 47, 1, 2022.11.07, DCP, 아토엔터테인먼트, 가요 / 락, 04:09
Happy Birthday, 강아솔 & 이예린 & 박진휘, 전진희, 전진희 & 이예린 & 강건후, 강건후, 1463, 30, 2022.11.07, 작은평화, 포크라노스, 가요 / 인디, 02:41
우리의 이야기, 함수진 (FX), 함수진 (FX), 함수진 (FX), 함수진 (FX), 137, 1, 2022.11.07, Team N Genius, 오감엔터테인먼트, 가요 / 발라드, 03:45
다시 돌아갈 수 있을까, SE YEON (이세연), SE YEON (이세연) & 이범훈, SE YEON (이세연) & 이범훈, 이범훈, 37, 3, 2022.11.07, SE YEON, 포크라노스, 가요 / 인디, 04:07
초혼, 지훈, 지훈, 지훈, 홍창석, 42, 1, 2022.11.07, 지훈의소리, (주)퍼플파인엔터테인먼트, 가요 / 인디, 04:01
길, 손진영, 손진영, 손진영, 정소리, 123, , 2022.11.07, 손진영 악단, 우조엔터테인먼트, 가요 / 발라드, 05:14
3월의 어느 날, 정은아, 정은아, 정은아, 정은아, 70, 1, 2022.11.07, 안병훈, ㈜다날엔터테인먼트, 가요 / 발라드, 03:49
오늘도 소중한 너에게, 안지민, 안지민, 안지민, 안지민, 67, 1, 2022.11.07, 안병훈, ㈜다날엔터테인먼트, 가요 / 발라드, 03:48
어디야 지금, 황인혁, 황인혁, 황인혁 & 박지영, 황인혁 & 마현권 & 박희수, 7596, 97, 2022.11.07, 오네스타컴퍼니, 지니뮤직, 가요 / 발라드, 04:04
ㅋㅋㅋㅋㅋ, 상우, 상우, 상우, 상우 & 김창대, 22, 1, 2022.11.07, 안병훈, ㈜다날엔터테인먼트, 가요 / 랩/힙합, 03:21
감동을주고싶으니까, KitsuNeko, KitsuNeko & GUNYUNG, KitsuNeko, GUNYUNG, 20, , 2022.11.07, KitsuNeko, 사운드프레스, 가요 / 랩/힙합, 03:16
해피엔딩, 쥬얼리, , , , 31, , 2022.11.07, 디지탈아트, 빅밴드, 가요 / 트로트, 03:44
건배, 김영애, 김민성, 김영애, 길민우, 28, 2, 2022.11.07, kya엔터테인먼트, 빅밴드, 가요 / 트로트, 03:28
귀기울여, 톤앤톤즈 (Tone&Tones), MooVin (무빈) & 이석진 & 정재욱, MooVin (무빈), 곽원일, 47, , 2022.11.07, 톤앤톤즈(Tone&Tones), 주식회사 사운드리퍼블리카, 가요 / 발라드, 04:36
사망이나 생명이나, 이슬아, 겸빛, 겸빛, 은은, 51, 2, 2022.11.07, 리마인드뮤직, 주식회사 사운드리퍼블리카, 가요 / 발라드, 04:29
주문, 윤소소, 윤소소, 윤소소, 윤소소 & 이성배, 13, , 2022.11.07, 소소, 주식회사 사운드리퍼블리카, 가요 / 인디, 03:10
자메뷰 (Jamais Vu), 전찬빈, 전찬빈, 전찬빈, 전찬빈 & 천재준, 61, 2, 2022.11.07, JMG(로칼하이레코즈), 미러볼뮤직, 가요 / 인디, 03:04
Candy Candy, 리피문 (LIPIMOON), Koruru, 히나, Koruru, 28, 1, 2022.11.07, 리피문 (LIPIMOON), ㈜ KOBUCO, 가요 / 댄스, 03:29
이 계절이 떠나면, 손윤옥, 주찬희 (FAB) & 카민 (Carmine) & 신유나, 주찬희 (FAB) & 카민 (Carmine) & 신유나, 주찬희 (FAB), 111, 1, 2022.11.07, 스튜디오블랙, NHN벅스, 가요 / 발라드, 03:23
우리 나중에는, 옥필 (OKFEEL), 옥필 (OKFEEL), 옥필 (OKFEEL), 이해준, 34, , 2022.11.07, Tori Ent., 주식회사 사운드리퍼블리카, 가요 / 발라드, 03:47
Call Me Everyday (With MuLAinHolli), 화쵸 (Hwa Cho), whoUA & wooly & 김진희 & MuLAinHolli, MuLAinHolli, wooly & 김진희 & whoUA, 12, , 2022.11.07, Hwa Cho, 주식회사 루미넌트엔터테인먼트, 가요 / 랩/힙합, 02:24
In Love, Red db, Red db, Red db, Red db, 12, , 2022.11.07, Luminant Entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / R&B/소울, 03:29
93 DM, ASHH, 클럼 (CLUM), ASHH, 클럼 (CLUM), 12, , 2022.11.07, ASHH, 주식회사 사운드리퍼블리카, 가요 / 랩/힙합, 02:27
들릴 수 있다면, 한길, 최하람 & Polar.B, 한길, Polar.B, 18, , 2022.11.07, 람사운드컴퍼니, MusicBee, 가요 / 발라드, 04:48
Cold Industry, 엘비오 (El Bio), 이승연, 이승연, 이승연, 13, , 2022.11.07, 엘비오 (El Bio), ㈜ KOBUCO, 가요 / 인디, 04:07
사이, 혼지 (HONJI), 혼지 (HONJI), 혼지 (HONJI), 혼지 (HONJI), 8, , 2022.11.07, 혼지 (HONJI), 비스킷 사운드, 가요 / 인디, 03:04
오랜 연인에서, Syu.SEnse (슈센스), 최하람 & 동백, Syu.SEnse (슈센스), 동백, 38, 1, 2022.11.07, 람사운드컴퍼니, MusicBee, 가요 / 발라드, 03:50
Christmas in Gangnam (when I first called you Oppa) (Feat. Rachel Philipp), Gangnam Santa, Vamp, Vamp & Gangnam Santa, , 8, , 2022.11.07, K-Algo, 주식회사 사운드리퍼블리카, 가요 / 일렉트로니카, 02:57
별을 그린 마음, 이양원, 최하람 & Polar.B, 이양원, Polar.B, 24, 1, 2022.11.07, 람사운드컴퍼니, MusicBee, 가요 / 발라드, 05:15
kangaroo effect (Feat. stepper), s.peeL, 권오현, s.peeL & Stepper(스텝퍼), 권오현, 3, , 2022.11.07, BIGROAD, 루나르트, 가요 / 랩/힙합, 03:22
Knock knock, 플러그윈 (Plug-Win), 플러그윈 (Plug-Win), 플러그윈 (Plug-Win), 플러그윈 (Plug-Win), 6, , 2022.11.07, BIGROAD, 루나르트, 가요 / 랩/힙합, 02:51
여름에서 가을, 휘원 (WHIWON), 휘원 (WHIWON), 휘원 (WHIWON), 휘원 (WHIWON), 29, 2, 2022.11.07, WHIWON, 인플래닛, 가요 / R&B/소울, 03:53
내가 두려워하는 것들, 김민, 김민, 김민, 더준수 (THEJOONSOO), 23, 2, 2022.11.07, 김민, ㈜ KOBUCO, 가요 / 인디, 04:33
See You Again, 나비언덕, 지창용, 장세진 & 지창용, 장세진 & 지창용 & 박재영 & 유성재, 7, , 2022.11.07, 나비언덕, 에이티씨미디어, 가요 / 락, 03:59
시선, 이지 (2Z), 이지 (2Z), 이지 (2Z), 이지 (2Z), 7, , 2022.11.07, 큐오뮤직, 에이티씨미디어, 가요 / 랩/힙합, 03:11
