곡 명, 아티스트, 작곡가, 작사가, 편곡자, 스트리밍 수, 좋아요 수, 발매시점, 기획사, 발매사, 장르, 재생시간
새삥 (Prod. by ZICO) (Feat. 호미들), 지코 (ZICO), 지코 (ZICO) & CK & Louie, , 지코 (ZICO) & Poptime, 19591683, 18882, 2022.09.06, Stone Music Entertainment, 지니뮤직, 가요 / 랩/힙합, 02:27
After LIKE, IVE (아이브), Ryan S. Jhun & Anders Nilsen & Andre Jensen & Iselin Solheim & F. Perren & D. Fekaris, 서지음, Ryan S. Jhun & Anders Nilsen & AVIN (아빈) & SLAY (슬레이), 29503022, 29565, 2022.08.22, 스타쉽 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 02:57
Hype boy, NewJeans, 250 & Ylva Dimberg, Gigi & Ylva Dimberg & 하니 (HANNI), 250, 25732893, 22417, 2022.08.01, ADOR, YG PLUS, 가요 / 댄스, 02:57
Shut Down, BLACKPINK, TEDDY & 24, TEDDY & Danny Chung & Vince, 24, 14028467, 14983, 2022.09.16, YG Entertainment, YG PLUS, 가요 / 랩/힙합, 02:56
Attention, NewJeans, 250 & Duckbay, Gigi & Duckbay & 다니엘 (DANIELLE), 250, 27202120, 25736, 2022.08.01, ADOR, YG PLUS, 가요 / 댄스, 02:58
Pink Venom, BLACKPINK, TEDDY & 24 & R.Tee & IDO, TEDDY & Danny Chung, 24 & R.Tee & IDO, 22103549, 20893, 2022.09.16, YG Entertainment, YG PLUS, 가요 / 랩/힙합, 03:07
Rush Hour (Feat. j-hope of BTS), Crush, Crush & j-hope & 페노메코 (PENOMECO), , Crush & 홍소진, 8728947, 12962, 2022.09.22, 피네이션, Dreamus, 가요 / R&B/소울, 02:57
LOVE DIVE, IVE (아이브), Sophia Brennan & Elle Campbell & Nick Hahn, 서지음, Nick Hahn, 51495987, 38210, 2022.04.05, 스타쉽 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 02:57
Monologue, 테이 (Tei), 박덕정, 이도연, 이기환, 8028554, 9972, 2022.09.18, 방구석 캐스팅, 카카오엔터테인먼트, 가요 / 발라드, 04:22
Nxde, (여자)아이들, 전소연 & Poptime & Kako, 전소연, Poptime & Kako & 전소연, 8860320, 14606, 2022.10.17, 큐브 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 02:58
사건의 지평선, 윤하 (YOUNHA), 윤하 (YOUNHA) & JEWNO (손준호), 윤하 (YOUNHA), JEWNO (손준호) & 숀 (SHAUN), 10221548, 22641, 2022.03.30, ㈜씨나인이엔티, 카카오엔터테인먼트, 가요 / 락, 05:01
그때 그 순간 그대로 (그그그), WSG워너비 (가야G), Dokkun (김도훈) & 용배, Dokkun (김도훈) & 용배, 용배 & 김민기, 29914429, 25595, 2022.07.09, 문화방송, 카카오엔터테인먼트, 가요 / 발라드, 03:43
우린 그렇게 사랑해서, 강민경 (다비치) & 잔나비 최정훈, 강민경 (다비치) & 캡틴플래닛, 잔나비 최정훈 & 강민경 (다비치), 캡틴플래닛, 6399193, 9277, 2022.09.26, WAKEONE &  페포니 뮤직, 지니뮤직 &  Stone Music Entertainment, 가요 / 발라드, 03:42
딱 10CM만, 10CM & BIG Naughty (서동현), TOIL & BIG Naughty (서동현), BIG Naughty (서동현) & 10CM, TOIL & BIG Naughty (서동현), 5575004, 10142, 2022.09.25, MAGIC STRAWBERRY SOUND &  H1GHR MUSIC RECORDS, 카카오엔터테인먼트, 가요 / R&B/소울, 03:16
TOMBOY, (여자)아이들, 전소연 & Poptime & JENCI, 전소연, Poptime & JENCI & 전소연, 52558097, 39696, 2022.03.14, 큐브 엔터테인먼트, 카카오엔터테인먼트, 가요 / 락, 02:54
LAW (Prod. by Czaer), 비비 (BIBI) & 윤미래, Czaer & 어드밴스드 (Advanced) & RYS, 윤미래 & 비비 (BIBI), Czaer & 어드밴스드 (Advanced) & RYS, 7064290, 7260, 2022.09.06, Stone Music Entertainment, 지니뮤직, 가요 / 랩/힙합, 03:09
보고싶었어, WSG워너비 (4FIRE), 조영수, 조영수 & 한길 (Han Gil), 조영수 & 한길 (Han Gil), 23902622, 22745, 2022.07.09, 문화방송, 카카오엔터테인먼트, 가요 / R&B/소울, 03:28
Cookie, NewJeans, FRNK & Ylva Dimberg, Gigi & Ylva Dimberg, FRNK, 11763060, 13027, 2022.08.01, ADOR, YG PLUS, 가요 / 댄스, 03:53
그라데이션, 10CM, 10CM & 고영배 (소란), 10CM, 10CM & 이요한 & 성수용 & 이윤혁 & 방인재, 14009340, 18785, 2022.07.03, 매직스트로베리사운드, 카카오엔터테인먼트, 가요 / 인디, 03:21
자격지심 (Feat. ZICO), BE'O (비오), BE'O (비오) & 지코 (ZICO), , OBSN (우비소년) & willy & BE'O (비오) & 지코 (ZICO), 4652816, 7139, 2022.09.29, 빅플래닛메이드 &  SWING ENTERTAINMENT &  페임어스 엔터테인먼트, 카카오엔터테인먼트, 가요 / 랩/힙합, 03:15
